Usuario_ID,Nombre_cancion,diff_F_min,diff_F_max,diff_F_prom,diff_F_mediana,diff_P10,diff_P90,diff_rango,diff_rango_efectivo,label
U003,Dame tu aire - Alex Ubago,81.888,327.9844,109.6645,98.7764,52.6783,240.5335,254.7486,187.8551,0
U047,Para siempre - Vicente Fernandez,84.5936,205.8657,68.237,74.6045,140.7868,96.4181,122.3,44.3686,0
U063,Dead women - Mitski,31.302,249.032,58.8323,50.3377,30.8785,73.3766,157.5866,42.4981,1
U116,In my blood - Shawn Mendes,78.2254,421.9774,11.8336,11.149,22.3293,1.3036,500.3847,23.633,1
U071,La distancia - Manuel Medrano,23.9542,204.3312,9.1927,5.5112,20.7139,173.005,219.3953,152.2911,1
U115,A gritos de esperanza - Alex Ubago,50.0504,9.0822,41.6648,39.6229,9.9005,56.372,101.6175,46.4714,1
U077,La luna - Josean Log,32.3816,163.7402,16.655,47.5359,7.0346,137.1635,196.1218,130.129,1
U112,Colapso - Kevin Kaarl,63.9171,77.8339,8.5454,11.7413,18.5968,44.165,76.5619,62.7618,1
U037,Mentira - Greeicy,30.1319,269.4015,138.3265,120.5005,138.0734,66.5303,324.2513,71.5431,0
U084,La mujer que bota fuego - Manuel Medrano,59.2101,413.3198,186.7924,190.78,71.3839,672.1517,567.6765,600.7677,0
U026,Love is a losing game - Amy Winehouse,21.306,175.1415,71.8726,70.0287,73.0998,37.9296,181.6771,35.1701,0
U117,Young and beautiful - Lana del rey ,20.3793,364.7671,7.5106,2.0315,26.4804,19.4299,422.8484,45.9103,1
U107,Quedate - Manuel Medrano,72.1148,63.4013,40.9403,29.4745,43.788,68.0122,19.9014,24.2242,1
U027,A gritos de esperanza - Alex Ubago,48.9662,390.1325,76.8388,101.3238,27.1935,405.1983,450.0484,378.0047,0
U087,Young and beautiful - Lana del rey ,14.6979,440.4699,107.4602,75.2472,33.2542,291.5668,522.5269,258.3126,0
U089,A gritos de esperanza - Alex Ubago,77.9708,276.4373,65.8704,106.0117,92.2692,210.9414,211.3667,118.6723,0
U070,La promesa - Melendi,56.7316,269.4404,40.5467,31.3163,37.7406,29.0313,375.9048,66.7719,1
U017,Never be alone - Shawn Mendes,39.6554,522.4712,17.468,10.0064,2.3494,106.8516,563.2363,104.5021,1
U108,Me enamore - Shakira,3.3694,188.8412,33.3215,8.478,23.4808,162.088,158.4651,185.5688,1
U112,Love is a losing game - Amy Winehouse,18.3595,110.5564,126.2003,130.9063,163.805,42.8521,38.4372,120.9528,0
U070,Vamonos a marte - Kevin Kaarl,56.3527,43.7223,30.3395,13.4995,7.5539,5.9132,62.3632,1.6407,1
U079,A veces a besos - Greeicy,33.9801,205.9063,147.9768,112.1555,148.2343,6.654,248.9544,154.8883,0
U117,Donde nadie pueda ir - Manuel Medrano,51.2882,48.7706,122.0709,116.6256,63.9812,134.8192,75.943,70.838,0
U022,You da one - Rihanna,41.8354,440.0431,201.7474,165.7553,116.8533,240.9172,502.8966,124.064,0
U092,Nobody - Mitski,60.5392,133.4427,45.6483,20.3468,53.8064,105.7398,80.6325,159.5462,1
U043,Mentira - Greeicy,35.5319,318.5058,171.9363,165.9243,141.407,107.4518,431.1947,33.9552,0
U039,Only girl - Rihanna,58.6222,253.1581,35.198,16.4201,22.0593,136.019,234.6718,158.0783,1
U086,Bajo el agua - Manuel Medrano,84.5936,206.3466,134.5806,151.8922,4.0548,136.7507,120.5236,132.6958,0
U059,Set fire to the rain - Adele,41.542,436.5408,91.0988,66.2763,100.256,102.1188,475.9151,1.8628,0
U052,La mujer que bota fuego - Manuel Medrano,66.8761,40.3181,28.676,20.6112,2.1933,13.522,103.2032,15.7152,1
U013,Un violinista en tu tejado - Melendi,52.7759,51.8105,20.5784,24.6848,12.9158,14.7269,16.0344,1.811,1
U094,Tierra - Josean Log,60.8547,186.8459,7.2358,30.8877,26.6606,39.9254,85.242,66.586,1
U007,Dame tu aire - Alex Ubago,68.0895,56.872,5.7418,11.5959,33.7685,21.7217,110.1564,12.0467,1
U019,Mercy - Shawn Mendes,65.9542,418.1958,99.278,131.5467,24.4064,97.4346,593.7316,73.0282,0
U026,Te quiero tanto - Kevin Kaarl,60.9706,379.6255,14.2,49.2341,52.4606,34.0774,455.3664,86.538,1
U115,Un violinista en tu tejado - Melendi,50.4293,6.3503,11.1113,2.2802,15.4975,20.705,104.7283,5.2076,1
U105,Aca entre nos - Vicente Fernandez,82.6143,244.6102,74.1586,97.9321,28.8871,108.0125,299.815,136.8997,0
U116,Valentine - Laufey,78.2254,352.2999,26.3491,24.1648,77.1257,35.0919,430.7072,112.2176,1
U089,Too sad to dance - Jung Kook,77.2064,347.9781,3.7702,65.6605,31.1167,156.7671,412.2843,125.6506,0
U047,Dont stop the music - Rihanna,84.2147,423.9662,66.8322,64.6937,46.4779,15.019,507.153,31.459,0
U028,Too sad to dance - Jung Kook,53.4376,606.3969,144.998,94.8224,110.6561,141.5047,717.6323,30.8485,0
U055,La mujer que bota fuego - Manuel Medrano,59.0821,60.2816,11.8178,17.3979,0.9423,36.9697,37.7577,36.0274,1
U029,Dead women - Mitski,71.7683,396.0218,51.5974,26.3519,25.4788,112.9286,465.525,138.4074,0
U080,Top of the world - Shawn Mendes,11.5538,140.2868,30.9938,21.9768,49.3021,99.4915,157.3462,50.1894,1
U077,Una y otra vez - Manuel Medrano,32.3816,80.6909,35.8174,17.8613,57.5134,31.3716,48.3093,88.885,1
U045,Quimbara - Celia Cruz,63.4315,184.5869,13.8584,29.14,34.0009,142.3546,187.2377,176.3555,1
U117,Mercy - Shawn Mendes,51.2882,67.1361,28.9629,7.1058,29.9802,13.0442,39.9637,43.0244,1
U118,Tu jardin con enanitos - Melendi,52.0939,635.5,80.4061,46.6507,45.1296,37.0754,780.858,8.0542,0
U060,A veces a besos - Greeicy,26.5526,80.4964,15.6462,10.8568,0.316,214.1225,163.6108,213.8065,1
U020,Just friends - Amy Winehouse,77.5913,315.8696,0.0334,5.8035,16.6392,153.9972,381.1046,137.358,1
U009,Que le den candela - Celia Cruz,25.8139,314.5062,90.6367,127.8682,134.4741,252.8912,327.0624,118.4171,0
U078,Estos celos - Vicente Fernandez,84.5936,459.4861,191.4849,179.1076,118.0371,473.4327,459.4379,355.3955,0
U019,Quedate - Manuel Medrano,65.9542,19.558,21.0863,38.3881,65.7079,10.3101,195.0938,55.3978,1
U065,Amor viejo - Kevin Kaarl,30.3902,61.3479,72.4446,81.7589,56.2779,337.4992,35.9901,281.2213,0
U013,Top of the world - Shawn Mendes,52.7759,18.7189,40.3694,24.4654,21.2829,135.2675,86.5638,156.5505,1
U074,Niño - Milo J,62.4735,141.6274,44.1278,66.7725,36.4464,80.8277,51.4325,44.3814,1
U018,Yo vivire (I will survive) - Celia Cruz,72.8104,242.3679,77.5001,80.7877,2.1905,259.9579,266.7197,262.1485,0
U015,Fragile - Laufey,84.2147,181.6202,37.3372,62.9226,58.601,144.5183,248.0881,85.9173,0
U048,In a lake portuguese -  Mitski,2.0104,257.8378,91.7193,65.7078,22.3599,224.3147,251.5183,201.9549,0
U074,Somedoy - Jung Kook,52.7525,172.3448,107.3809,80.49,39.375,115.2899,252.8187,75.9148,0
U012,Man down - Rihanna,20.4119,113.4327,18.0803,25.1095,15.7616,26.5954,269.6542,42.357,1
U032,Fragile - Laufey,74.9945,353.1154,66.6574,64.7914,95.3951,123.9048,428.1099,219.2999,0
U018,Ya para que - Greeicy,16.4934,242.3679,50.364,39.7799,50.0791,318.9243,210.4028,369.0034,0
U029,Beso - Josean Log,82.3671,265.8406,64.4926,32.8358,75.8167,62.5062,185.7386,13.3105,0
U010,Where have you been - Rihanna,41.8107,583.1887,219.1141,204.554,151.1016,230.1458,640.1305,79.0441,0
U119,Dead women - Mitski,73.9948,377.1469,61.517,69.0396,22.5459,179.2531,446.8967,201.799,0
U105,Mentira - Greeicy,50.0218,13.3596,1.7034,22.4821,130.4441,71.1374,9.2527,201.5815,1
U004,Yes or no - Jung Kook,63.6479,154.2959,96.8606,99.8619,94.8992,96.1008,289.6197,1.2015,0
U090,Nobody - Mitski,54.7533,391.8332,73.8725,65.5802,10.0106,45.9514,458.0879,35.9409,0
U010,Yes or no - Jung Kook,38.3206,116.6772,133.4958,132.091,107.4958,90.3584,170.1289,17.1376,0
U080,Doma - Josean log,11.5538,164.8956,13.3245,23.327,106.3632,189.0826,147.8362,82.7193,0
U107,Por si acaso no regreso - Celia Cruz,30.6527,474.3366,112.5236,77.4132,101.5125,249.1087,516.1771,147.5962,0
U069,Just friends - Amy Winehouse,80.7043,355.2794,21.9104,63.3087,43.5145,164.7199,432.3429,121.2054,0
U048,Thriller - Michael Jackson,84.5936,383.0361,36.3593,7.6309,79.8633,60.5823,463.3207,19.2809,1
U005,El chofer - Vicente Fernandez,20.6046,174.7067,27.6324,23.7738,5.7137,67.3269,162.5156,61.6132,1
U050,Hombres malvados - Paquita la del barrio,84.5936,80.7847,9.3509,28.2403,44.694,41.2184,3.5865,3.4755,1
U023,La ley del monte - Vicente Fernandez,84.5936,288.4261,9.9745,1.5475,52.543,78.0216,373.4858,130.5646,1
U031,Bajo el agua - Manuel Medrano,76.1597,80.493,37.3818,48.0614,10.5093,64.9657,101.3606,75.4749,1
U082,Me arrepiento - Alex Ubago,80.5192,61.0561,23.2276,53.6988,21.6834,10.0317,207.7955,11.6517,1
U007,La distancia - Manuel Medrano,68.0895,380.2393,22.2411,20.6929,13.7091,23.3274,547.2677,9.6183,1
U037,Too little too late - Laufey,50.797,407.8267,94.6042,84.5377,96.681,13.5159,483.3417,83.165,0
U021,Chachacha - Josean log,53.3478,357.3533,84.1012,72.0728,12.1843,286.6295,450.0676,274.4451,0
U052,Mujeres divinas - Vicente Fernandez,66.8761,111.287,7.8772,22.4961,12.2444,39.2025,254.8083,51.4469,1
U033,Soltera - Shakira,67.8672,124.8777,11.2758,20.5247,16.0521,375.4616,110.9207,359.4096,0
U032,La mujer que bota fuego - Manuel Medrano,75.3734,192.1023,86.5711,74.3251,5.354,317.4567,116.7289,312.1026,0
U099,Que le den candela - Celia Cruz,21.3966,316.6842,9.0542,14.7259,45.6624,45.4223,325.1441,91.0847,1
U025,No me culpes por sentir - Kevin Kaarl,67.5389,115.2409,11.4672,4.5418,3.0042,2.7533,47.8962,0.2509,1
U096,Yes or no - Jung Kook,52.2959,241.5816,37.8948,56.7956,51.3388,542.8072,311.4966,491.4684,0
U039,Hate you - Jung Kook,50.1551,194.9081,91.826,85.2836,67.497,240.7679,221.8614,173.2709,0
U119,West coast - Lana del rey,79.0846,130.5892,52.773,75.5235,97.6235,3.6159,205.4288,101.2394,0
U101,Los consejos - Greeicy,58.0326,43.0858,43.5359,74.1405,68.9559,27.7923,105.8156,96.7483,1
U098,You know i'm no good - Amy Winehouse,27.2403,122.4902,21.713,35.4133,107.4901,19.6982,153.1016,87.7919,1
U119,Soltera - Shakira,84.5936,265.1858,40.7321,34.7392,51.5225,3.943,345.5344,55.4656,1
U037,Young and beautiful - Lana del rey ,31.8155,55.6521,95.5386,86.2389,82.1652,7.6534,0.8813,74.5118,0
U096,Tears dry on their own - Amy Winehouse,14.3239,39.9673,30.3172,31.5631,71.8443,495.2111,67.9197,423.3667,0
U047,Mas fuerte - Greeicy,26.5292,423.9662,36.3511,26.678,17.8334,35.4073,449.4674,53.2408,1
U005,I'll change for you - Mitski,27.3289,433.0784,109.4719,103.1306,48.5522,151.0945,397.336,102.5422,0
U056,Bajo el agua - Manuel Medrano,15.0001,241.1755,24.3804,3.3652,10.4559,26.961,232.7022,37.4168,1
U021,Tierra - Josean Log,53.3478,579.6148,126.1106,74.6143,89.691,352.7329,672.3291,263.0419,0
U085,Soltera - Shakira,80.9332,477.6931,118.1945,103.9828,46.1333,145.9332,664.6655,99.7998,0
U017,Bajo el agua - Manuel Medrano,39.6554,167.7054,25.7035,4.2544,4.5406,208.4989,126.9403,213.0393,1
U023,Mentira - Greeicy,52.0011,181.5765,20.6516,27.5512,91.1957,64.5915,234.0437,155.7872,1
U068,Nobody - Mitski,36.1812,135.8196,69.6792,39.812,67.9214,181.3278,111.4299,113.4065,0
U038,Ultraviolence - Lana del rey,60.5,227.5086,73.776,127.2624,48.4023,34.5935,289.0948,82.9958,0
U022,Un violinista en tu tejado - Melendi,41.8354,23.3731,28.415,33.1216,18.4953,5.2466,39.4803,23.7418,1
U093,Aca entre nos - Vicente Fernandez,79.6162,183.7506,123.8528,123.5852,11.6517,78.0276,210.7501,89.6794,0
U046,Taco placero - Paquita la del barrio,73.1014,91.6195,34.2883,27.5414,40.2779,16.5112,193.6155,56.7891,1
U040,Pierdeme el respeto - Paquita la del barrio,44.7784,172.3075,49.8151,78.2257,44.2642,111.3389,238.6916,155.6032,0
U033,Waka waka - Shakira,36.9583,224.4665,48.5301,13.9354,4.2077,125.399,179.6006,129.6067,1
U046,Sin remitente - Melendi,73.1014,118.8805,28.0575,57.4827,21.3444,60.965,16.8846,39.6206,1
U061,Dont stop the music - Rihanna,57.2576,596.9114,168.9905,182.0058,124.6228,147.344,687.0796,22.7212,0
U003,Colapso - Kevin Kaarl,81.888,346.6309,147.3047,138.3982,70.8149,269.3439,273.395,198.529,0
U006,Donde nadie pueda ir - Manuel Medrano,76.6242,56.2734,111.3536,132.8727,110.2613,381.1509,121.6349,270.8896,0
U119,Tears dry on their own - Amy Winehouse,43.1315,211.0129,6.0406,7.2229,14.8238,37.5367,249.8994,52.3605,1
U082,Someone like you - Adele,63.5187,514.334,108.3601,61.9365,92.5615,153.9979,644.0729,61.4364,0
U023,Someone like you - Adele,67.5931,403.8986,11.7397,6.7104,31.4862,11.1666,471.9578,42.6528,1
U010,Aunque no te pueda ver - Alex Ubago,38.3206,492.2255,67.4611,56.2123,40.0452,72.5647,545.6771,32.5195,0
U099,Sin miedo a nada - Alex Ubago,80.1763,45.4464,66.0591,103.2767,13.9428,78.3344,21.7932,64.3915,0
U081,Milagrosa - Milo J,59.3309,229.0532,152.851,163.349,86.5664,613.5614,191.1963,526.995,0
U021,The girl is mine - Michael Jackson,53.3478,316.3127,60.5125,42.0891,50.6413,237.8967,409.027,187.2554,0
U010,Remember the time  Michael Jackson,41.8107,551.9878,122.9918,93.2144,86.9903,199.9165,608.9296,112.9261,0
U074,Ya para que - Greeicy,4.9026,577.9065,128.3635,98.9906,117.0689,89.276,610.5305,27.793,0
U060,The girl is mine - Michael Jackson,38.48,253.1623,25.5335,36.7813,107.0411,252.9654,324.3494,145.9243,0
U092,Just friends - Amy Winehouse,56.6499,371.3561,33.9703,6.9313,57.6077,204.2027,420.2769,261.8104,0
U031,You know i'm no good - Amy Winehouse,18.8064,228.47,82.9925,66.1433,119.489,72.9805,352.9703,46.5085,0
U026,Standing next to you - Jung Kook,60.9706,515.8794,148.8977,128.2882,53.1249,228.8226,591.6203,175.6977,0
U061,Never be alone - Shawn Mendes,57.6365,596.9114,38.4406,13.3942,35.0937,37.7092,687.4585,72.8029,0
U101,My love mine all mine - Mitski,15.9514,315.0441,45.2443,36.8696,67.7053,31.5784,335.6927,99.2837,0
U059,Cola - Lana del rey,19.4827,436.5408,109.9061,54.5169,81.26,225.4597,453.8557,144.1997,0
U004,Young and beautiful - Lana del rey ,36.2291,11.7094,98.1832,116.4396,108.5213,80.2388,96.1956,28.2825,0
U077,Set fire to the rain - Adele,10.4809,498.0637,144.7188,154.223,179.1925,4.9363,508.5446,174.2562,0
U115,Me arrepiento - Alex Ubago,50.4293,76.9142,3.2883,1.9208,46.9932,42.9565,187.9928,89.9496,1
U057,West coast - Lana del rey,51.1251,54.61,98.4466,88.5285,143.0667,176.1918,62.7336,33.1251,0
U073,Las de la intruicion - Shakira,70.7286,539.3047,187.5018,173.2361,95.2639,250.579,696.8644,155.3151,0
U058,Chachacha - Josean log,51.3542,49.5389,56.1639,39.2572,39.3055,124.789,151.0336,85.4836,0
U046,I bet on losing dogs - Mitski,71.9581,537.7443,52.5879,50.6797,19.1986,6.6835,638.5969,25.8822,0
U015,You da one - Rihanna,84.5936,131.582,15.3187,61.0993,58.601,93.1808,198.4289,34.5798,1
U108,Too little too late - Laufey,53.8606,150.5929,4.293,23.6987,36.7147,260.8362,170.7081,297.5508,0
U067,Un violinista en tu tejado - Melendi,67.7894,15.8114,23.6594,28.9414,18.7126,122.0604,127.4435,140.773,1
U098,In a lake portuguese -  Mitski,2.0104,378.5055,18.3338,10.4056,61.8196,32.453,379.8661,94.2726,1
U007,Por si acaso no regreso - Celia Cruz,26.6274,564.6975,146.9365,108.4932,123.7091,321.7787,690.2637,198.0696,0
U008,Colapso - Kevin Kaarl,23.3973,306.5868,76.5393,94.254,15.3333,219.4377,302.5607,204.1044,0
U023,Nobody - Mitski,84.5936,65.2525,5.064,4.9994,31.4862,11.1666,19.8073,42.6528,1
U028,Me arrepiento - Alex Ubago,54.5809,67.9779,36.9809,12.9275,7.3901,73.9149,180.3566,81.305,1
U088,Taco placero - Paquita la del barrio,62.9902,106.717,36.3004,48.2736,36.6036,60.6019,193.6365,97.2055,1
U063,Chicago - Michael Jackson,41.9008,56.9627,5.1201,19.4755,33.1168,99.4428,23.8839,132.5596,1
U091,Ultraviolence - Lana del rey,50.3965,346.9202,139.5953,175.5112,15.3969,135.9914,442.5897,120.5944,0
U064,Treat you better - Shawn Mendes,56.9236,472.7118,116.874,112.6835,15.6238,52.5226,623.9621,36.8989,0
U110,Chachacha - Josean log,77.6194,16.6457,0.0061,6.3695,3.5685,39.1783,79.8682,35.6097,1
U043,Me arrepiento - Alex Ubago,68.1244,87.55,31.4367,16.0274,32.5474,3.1529,232.8314,29.3945,1
U098,La ley del monte - Vicente Fernandez,84.5936,303.0902,27.1666,38.8652,114.2806,51.3061,391.0549,62.9745,0
U047,Lover girl - Laufey,22.6085,392.7653,0.868,23.8684,2.6311,77.9175,369.1289,80.5488,1
U006,Yes or no - Jung Kook,73.1341,93.7178,1.8841,34.8563,33.4218,249.8996,31.8464,216.4779,0
U016,The girl is mine - Michael Jackson,62.3968,43.5752,54.3929,45.5122,24.825,62.1925,134.0513,87.0175,1
U119,Rie y llora - Celia Cruz,54.791,389.663,16.1589,22.799,47.677,78.993,440.209,126.67,1
U112,Chicago - Michael Jackson,63.9171,412.9977,130.603,102.5693,99.3046,137.4132,567.3934,38.1086,0
U010,Para siempre - Vicente Fernandez,41.8107,46.6432,59.8045,79.7492,11.835,50.2341,10.2986,62.069,1
U025,Hate you - Jung Kook,51.4849,193.4022,90.8819,97.519,91.8011,160.3166,340.4853,68.5156,0
U063,Never be alone - Shawn Mendes,41.9008,267.8606,68.0243,80.9629,109.8777,17.5783,187.014,92.2994,0
U018,Milagrosa - Milo J,68.9154,242.3679,207.2141,189.6768,72.9552,494.2001,262.8247,421.2449,0
U091,Si supieras - Kevin Kaarl,50.3965,64.4348,32.859,23.1633,0.5304,29.3007,160.1043,29.831,1
U028,Un violinista en tu tejado - Melendi,54.5809,15.2866,22.5813,17.1285,24.1056,10.2534,97.0921,13.8522,1
U015,Si supieras - Kevin Kaarl,84.5936,267.5628,168.6887,182.7958,161.6235,274.0399,200.716,112.4164,0
U067,Somedoy - Jung Kook,51.7354,200.3104,115.0004,98.2539,67.9204,80.5037,327.5113,12.5833,0
U109,Hello - Adele,59.5561,553.5212,221.9176,189.974,90.5873,246.2411,665.4452,155.6538,0
U016,Top of the world - Shawn Mendes,62.3968,21.0939,36.5944,27.336,24.825,55.7251,111.57,80.5501,1
U021,From the start - Laufey,49.9119,345.052,5.5662,15.9878,57.434,229.0973,541.0261,286.5313,0
U119,Man down - Rihanna,31.422,44.2554,15.7991,4.8245,60.7589,23.4714,71.4323,84.2303,1
U059,Quimbara - Celia Cruz,58.3422,436.5408,89.4071,70.2875,59.2938,70.4721,492.7152,11.1783,0
U035,Estos celos - Vicente Fernandez,71.2139,135.2121,8.2008,12.6584,37.3913,50.084,25.2658,87.4754,1
U005,Top of the world - Shawn Mendes,28.6144,118.0757,15.8885,8.4835,32.7433,105.7842,97.8748,138.5275,1
U110,Stitches - Shawn Mendes,77.6194,163.6441,30.8543,47.9423,18.1179,13.6212,260.158,4.4966,1
U031,Someone like you - Adele,59.1592,524.5425,110.1603,64.4323,105.2227,171.4434,689.3956,66.2207,0
U089,There's nothing holding me back - Shawn Mendes,78.3497,289.8623,40.879,64.145,107.2452,142.2737,224.4127,35.0286,0
U006,You know i'm no good - Amy Winehouse,19.2709,8.4199,9.9149,16.5676,9.3347,251.9227,0.4117,242.588,1
U011,Borracho te recuerdo - Vicente Fernandez,84.5936,57.1475,40.4786,15.2833,39.9185,72.7241,145.5345,32.8056,1
U039,Young and beautiful - Lana del rey ,35.3002,379.3587,84.3645,80.2093,27.5181,297.374,421.1669,269.856,0
U058,La ley del monte - Vicente Fernandez,51.3542,418.6387,125.2794,118.5117,113.0216,177.8961,520.1334,64.8745,0
U027,Tres veces te engañe - Paquita la del barrio,49.3451,196.9492,34.8122,22.0693,6.4311,35.36,137.4122,41.791,1
U054,Love in the dark - Adele,84.5936,183.2008,14.4169,49.6263,37.3167,71.538,247.8886,34.2213,1
U020,Fragile - Laufey,81.1017,257.1339,33.7749,36.8841,4.8317,88.3991,325.8793,83.5674,1
U024,Chicago - Michael Jackson,74.3637,6.513,101.831,117.2395,40.2753,175.1716,143.0654,134.8963,0
U040,Los besos - Greeicy,18.2189,433.8563,133.6993,155.8213,123.4735,144.0011,473.681,20.5278,0
U027,Just friends - Amy Winehouse,45.4558,184.7895,12.1093,38.9367,33.959,353.0471,121.3632,387.006,0
U026,Where have you been - Rihanna,60.9706,559.3105,157.9212,134.3225,67.2269,193.579,635.0514,126.3521,0
U036,You da one - Rihanna,61.8251,47.1001,6.0014,21.9147,23.6534,44.2387,42.9186,20.5853,1
